StockCode,title,description,features,category,tags,attributes,Price,image_url
10002,INFLATABLE POLITICAL GLOBE,A unique and interactive political globe for educational purposes.,"[""Inflatable"", ""Educational""]",Education,"[""Political"", ""Globe"", ""Interactive""]","{""color"": ""Blue"", ""material"": ""Polyester"", ""style"": ""Modern""}",0.85,"['https://m.media-amazon.com/images/I/812xu118r5L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71nXR-khcZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71FZ6j+wiXL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/917rhn2sjeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51t0G0N5RDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61LhK-idwHL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61urtoCAR3L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61neGN2ELjL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81YxSYJadcL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81XYHwUGzpL._AC_UL320_.jpg']"
10133,COLOURING PENCILS BROWN TUBE,"A high-quality brown colored pencil with a smooth, creamy texture and a soft, comfortable grip.","[""Brown color"", ""Smooth texture"", ""Soft grip""]",Art Supplies,"[""Art Supplies"", ""Pencils""]","{""color"": ""Brown"", ""material"": ""High-quality"", ""style"": ""Smooth""}",0.85,"['https://m.media-amazon.com/images/I/61zNUtHLZ2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51wFn534fAL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61DAQ-G0ZmL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/81wTfr7v+-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71RJWtqPdpL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41ZnRDZ2gbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/91HYBloFjHL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81Q+ah-iYbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81T476hUhML._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/812NT72OnKL._AC_UL320_.jpg']"
11001,ASSTD DESIGN RACING CAR PEN,A high-quality racing car pen designed for professional use.,"[""High-quality materials"", ""Durable construction"", ""Smooth writing""]",Office Supplies,"[""Pen"", ""Racing Car"", ""Design""]","{""color"": ""Black"", ""material"": ""Stainless Steel"", ""style"": ""Professional""}",3.43,"['https://m.media-amazon.com/images/I/61tGQ6mjC7L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/5156hTn9kRL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71Jftg1Z-cL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71bUHK4uobL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51V5yHL2ROL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/5136ezLaLhL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51EOIR-q4cL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61ooECZHQuL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81SUgE2PvkL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51Ja9yl9qCL._AC_UL320_.jpg']"
15034,PAPER POCKET TRAVELING FAN,A compact and portable fan designed for travel enthusiasts.,"[""Travel-friendly design"", ""Easy to carry"", ""Lightweight construction""]",Electrical Appliances,"[""travel"", ""portable"", ""fan""]","{""color"": ""Various colors available"", ""material"": ""Plastic"", ""style"": ""Simple, modern""}",0.83,"['https://m.media-amazon.com/images/I/71tlmiNL8ML._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61S1aIWS3-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71ETxnzhGKL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61vnViYSdFL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41YrFEqpqVL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51j07agchOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71RAH8pHndL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51SpUuCO+ZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Zdj1KtU2L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71UrLh0s0mL._AC_UL640_QL65_.jpg']"
15036,ASSORTED COLOURS SILK FAN,"A versatile and elegant silk fan with assorted colors, perfect for enhancing the ambiance of any space.","[""Assorted colors"", ""Silk material"", ""Elegant design""]",Home Decor,"[""Decorative"", ""Furniture"", ""Home Accessories""]","{""color"": ""Assorted"", ""material"": ""Silk"", ""style"": ""Elegant""}",0.65,"['https://m.media-amazon.com/images/I/71UrLh0s0mL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/71pDfTjD5+L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81CJzAgShYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/513Ooa7HTZL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61pdjuLH35L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51af7Te4GRL._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/5172E6UrgdL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61pdjuLH35L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81YqJVsaAaL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71E7bDmUm0L._AC_UL320_.jpg']"
15039,SANDALWOOD FAN,A beautiful and unique sandalwood fan with intricate designs that will add elegance to any room.,"[""Sandalwood wood"", ""Intricate designs"", ""Elegant design""]",Home Decor,"[""Decorative"", ""Furniture"", ""Home""]","{""color"": ""Natural"", ""material"": ""Sandalwood"", ""style"": ""Vintage""}",0.85,"['https://m.media-amazon.com/images/I/61tmaS1h1iL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81G-ovsczgS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51aMLthfYyL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/712OTtfz3XL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81bPNWyK+1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71YK9agLzRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41kj09TePDL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81i6uZTJsuS._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Lh9epqYCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61h6tX5g8uL._AC_UL640_QL65_.jpg']"
15044A,PINK PAPER PARASOL,"A beautiful pink paper parasol with a unique design and a soft, lightweight material.","[""Pink color"", ""Paper material"", ""Unique design""]",Outdoor Furniture,"[""Parasol"", ""Design"", ""Color""]","{""color"": ""Pink"", ""material"": ""Paper"", ""style"": ""Unique""}",2.95,"['https://m.media-amazon.com/images/I/41YN5OqmRoL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61IqFwFZRRL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51jAaQa4aBL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71ne8ADSqTL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/513oWvK98FL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61dWZJtRaPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61PG0xhIfbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71jTdxyKtOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51miYt1JOJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/513xYa62SrL._AC_UL320_.jpg']"
15044B,BLUE PAPER PARASOL,A stylish and durable blue paper parasol designed for outdoor use.,"[""Durable"", ""Stylish"", ""Water-resistant""]",Outdoor Furniture,"[""outdoor furniture"", ""parasols"", ""stylish""]","{""color"": ""Blue"", ""material"": ""Paper"", ""style"": ""Durable""}",2.95,"['https://m.media-amazon.com/images/I/71JVbW27DNL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/613CpAQhemL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81RYSqUijiL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61NMyJ5snHL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/610sB8I0-1L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41j9j9RExOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71hbqINr72L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81U5ylBxmrL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71oD6PLF7DL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51Hdo+efxXL._AC_UL320_.jpg']"
15044C,PURPLE PAPER PARASOL,A unique and stylish paper parasol with a purple color.,"[""Purple color"", ""Paper material""]",Outdoor Furniture,"[""outdoor furniture"", ""parasols"", ""purple""]","{""color"": ""Purple"", ""material"": ""Paper"", ""style"": ""Unique""}",6.04,"['https://m.media-amazon.com/images/I/51Nkuv00ZOL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51miYt1JOJL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71Kxe9pNCCL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61dWZJtRaPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61AJMtEOOkL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61u1FkNg6CL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51RMce1uELL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/412CuLHSOsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41ombKEAfbL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61izDc5avNL._AC_UL320_.jpg']"
15044D,RED PAPER PARASOL,A beautiful and functional red paper parasol designed for outdoor use.,"[""Red color"", ""Paper material"", ""Functionality""]",Outdoor Decor,"[""outdoor decor"", ""red"", ""parasol""]","{""color"": ""Red"", ""material"": ""Paper"", ""style"": ""Functionality""}",6.04,"['https://m.media-amazon.com/images/I/81CnBHjoBsL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/818u+5bvkeL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/81fS9rVgyYL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41Sq1xGoP8L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/61Q0EINL3-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/518pTE3b5-L._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/41YIz4WHW4L._AC_UL640_QL65_.jpg', 'https://m.media-amazon.com/images/I/61dWZJtRaPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/51YRar5zGPL._AC_UL320_.jpg', 'https://m.media-amazon.com/images/I/71NsUERmV2L._AC_UL320_.jpg']"
